Fiscal Year,Service Level (or State Project),State,Location Identifier,Airport Name,Grant Sequence Number,AIP Federal Funds, Work Description,Hub Type,,,
2005,P,MN,MSP,Minneapolis-St Paul International/Wold-Chamberlain/,80,"$5,114,354 ",Noise Mitigation Measures for Residences within 65 - 69 DNL,L,,,
2005,P,MN,MSP,Minneapolis-St Paul International/Wold-Chamberlain/,81,"$5,663,759 ","Construct Taxiway , Rehabilitate Taxiway",L,,,
2005,P,MN,MSP,Minneapolis-St Paul International/Wold-Chamberlain/,79,"$8,000,000 ",Construct Runway - Plan-1,L,,,
2005,P,MO,STL,Lambert-St Louis International,97,"$176,172 ",Acquire Aircraft Rescue & Fire Fighting Vehicle,L,,,
2005,P,MO,STL,Lambert-St Louis International,88,"$386,687 ",Acquire Aircraft Rescue & Fire Fighting Vehicle,L,,,
2005,P,MO,STL,Lambert-St Louis International,94,"$2,251,054 ",Rehabilitate Taxiway,L,,,
2005,P,MO,STL,Lambert-St Louis International,93,"$4,790,400 ",Noise Mitigation Measures for Residences within 65 - 69 DNL,L,,,
2005,P,MO,STL,Lambert-St Louis International,95,"$6,137,729 ","Rehabilitate Apron , Rehabilitate Taxiway",L,,,
2005,P,MO,STL,Lambert-St Louis International,91,"$7,028,210 ",Construct Runway - Plan-1,L,,,
2005,P,MO,STL,Lambert-St Louis International,92,"$19,909,600 ",Acquire Land for Noise Compatibility within 70 - 74 DNL,L,,,
2005,P,NC,CLT,Charlotte/Douglas International,53,"$4,875,000 ",Improve Runway Safety Area  - 18L/36R,L,,,
2005,P,NC,CLT,Charlotte/Douglas International,52,"$15,089,210 ","Construct Runway  - 18L/36R, Construct Taxiway, Expand Apron",L,,,
2005,P,NJ,EWR,Newark Liberty International,103,"$500,000 ",Improve Runway Safety Area  - 11/29,L,,,
2005,P,NJ,EWR,Newark Liberty International,105,"$1,656,156 ",Install Runway Incursion Caution Bars,L,,,
2005,P,NJ,EWR,Newark Liberty International,104,"$6,704,570 ",Noise Mitigation Measures for Public Buildings,L,,,
2005,P,NJ,EWR,Newark Liberty International,106,"$8,217,000 ",Extend Taxiway,L,,,
2005,P,NV,LAS,McCarran International,58,"$4,861,973 ",Rehabilitate Apron,L,,,
2005,P,NV,LAS,McCarran International,59,"$7,000,000 ",Conduct Environmental Study,L,,,
2005,P,NV,LAS,McCarran International,57,"$15,233,688 ",Rehabilitate Runway  - 01R/19L,L,,,
2005,P,NY,JFK,John F Kennedy International,138,"$738,000 ",Install Runway Lighting  - 13L/31R,L,,,
2005,P,NY,JFK,John F Kennedy International,142,"$947,600 ",Security Enhancements,L,,,
2005,P,NY,JFK,John F Kennedy International,139,"$1,000,000 ",Improve Runway Safety Area  - 04L/22R,L,,,
2005,P,NY,JFK,John F Kennedy International,143,"$1,146,589 ",Rehabilitate Taxiway,L,,,
2005,P,NY,JFK,John F Kennedy International,140,"$1,841,925 ",Construct Aircraft Rescue & Fire Fighting Training Facility,L,,,
2005,P,NY,JFK,John F Kennedy International,141,"$3,577,004 ",Rehabilitate Taxiway,L,,,
2005,P,NY,JFK,John F Kennedy International,137,"$7,000,000 ",Improve Runway Safety Area - 04R/22L,L,,,
2005,P,NY,LGA,La Guardia,111,"$1,000,000 ",Improve Runway Safety Area  - 13/31,L,,,
2005,P,NY,LGA,La Guardia,112,"$3,163,761 ",Improve Access Road,L,,,
2005,P,NY,LGA,La Guardia,109,"$5,866,239 ","Rehabilitate Runway  - 13/31, Rehabilitate Runway  - 04/22",L,,,
2005,P,NY,LGA,La Guardia,113,"$6,842,107 ",Improve Access Road,L,,,
2005,P,OR,PDX,Portland International,52,"$131,250 ",Install Noise Monitoring System,M,,,
2005,P,OR,PDX,Portland International,50,"$374,985 ",Extend Runway  - 10L/28R,M,,,
2005,P,OR,PDX,Portland International,51,"$3,111,112 ",Acquire Land for Development,M,,,
2005,P,PA,PHL,Philadelphia International,72,"$2,400,000 ",Noise Mitigation Measures for Residences within 65 - 69 DNL,L,,,
2005,P,PA,PHL,Philadelphia International,74,"$5,450,000 ",Rehabilitate Apron,L,,,
2005,P,PA,PHL,Philadelphia International,73,"$6,000,054 ",Construct Runway  - 17/35,L,,,
2005,P,PA,PHL,Philadelphia International,75,"$12,779,619 ",Extend Runway - 17/35,L,,,
2005,P,TX,DFW,Dallas/Fort Worth International,75,"$5,692,000 ",Extend Runway  - 17C/35C,L,,,
2005,P,TX,DFW,Dallas/Fort Worth International,76,"$12,900,672 ","Construct Taxiway , Improve Airport Drainage , Improve Terminal Building , Rehabilitate Apron , Rehabilitate Runw",L,,,
2005,P,TX,IAH,George Bush Intercontinental,54,"$3,500,000 ",Noise Mitigation Measures for Residences within 70 - 74 DNL,L,,,
2005,P,TX,IAH,George Bush Intercontinental,55,"$12,000,000 ",Rehabilitate Runway - 15L/33R,L,,,
2005,P,TX,IAH,George Bush Intercontinental,53,"$17,500,000 ",Construct Runway - 08L/26R,L,,,
2005,P,TX,IAH,George Bush Intercontinental/Houston,56,"$42,655 ",VALE Vehicle,L,,,
2005,P,UT,SLC,Salt Lake City International,81,"$939,752 ",Acquire Land for Noise Compatibility within 65 - 69 DNL,L,,,
2005,P,UT,SLC,Salt Lake City International,79,"$3,710,427 ",Rehabilitate Taxiway,L,,,
2005,P,UT,SLC,Salt Lake City International,80,"$8,000,000 ",Rehabilitate Taxiway,L,,,
2005,P,WA,SEA,Seattle-Tacoma International,95,"$1,500,000 ",Rehabilitate Runway - 16R/34L,L,,,
2005,P,WA,SEA,Seattle-Tacoma International,92,"$2,000,000 ",Install Runway Vertical/Visual Guidance System  - Plan-1,L,,,
2005,P,WA,SEA,Seattle-Tacoma International,89,"$2,446,000 ","Noise Mitigation Measures for Residences within 70 - 74 DNL , Noise Mitigation Measures for Residences within 70 - 74 DNL",L,,,
2005,P,WA,SEA,Seattle-Tacoma International,93,"$3,352,000 ",Noise Mitigation Measures for Residences within 70 - 74 DNL,L,,,
2005,P,WA,SEA,Seattle-Tacoma International,91,"$4,000,000 ",Improve Runway Safety Area  - 16R/34L,L,,,
2005,P,WA,SEA,Seattle-Tacoma International,94,"$4,471,000 ",Noise Mitigation Measures for Residences within 65 - 69 DNL,L,,,
2005,P,WA,SEA,Seattle-Tacoma International,96,"$5,340,056 ",Noise Mitigation Measures for Residences within 70 - 74 DNL,L,,,
2005,P,WA,SEA,Seattle-Tacoma International,90,"$25,529,584 ",Construct Runway  - Plan-1,L,,,
2006,P,AZ,PHX,Phoenix Sky Harbor International,62,"$6,884,262 ",Rehabilitate Taxiway,L,,,
2006,P,CA,LAX,Los Angeles International,40,"$2,000,000 ",Noise Mitigation Measures for Residences within 70 - 74 DNL,L,,,
2006,P,CA,LAX,Los Angeles International,41,"$3,000,000 ",Noise Mitigation Measures for Residences within 65 - 69 DNL,L,,,
2006,P,CA,LAX,Los Angeles International,39,"$5,000,000 ",Noise Mitigation Measures for Residences within 70 - 74 DNL,L,,,
2006,P,CA,LAX,Los Angeles International,38,"$10,000,000 ",Acquire Land for Noise Compatibility within 65 - 69 DNL,L,,,
2006,P,CA,LAX,Los Angeles International,37,"$10,950,000 ",Noise Mitigation Measures for Residences within 65 - 69 DNL,L,,,
2006,P,CA,LAX,Los Angeles International,36,"$29,539,720 ",Construct Runway  - 07R/25L,L,,,
2006,P,CA,OAK,Metropolitan Oakland International,40,"$14,221,668 ","Rehabilitate Apron , Rehabilitate Apron",M,,,
2006,P,CA,SAN,San Diego International,46,"$240,000 ",Conduct Noise Compatibility Plan Study,L,,,
2006,P,CA,SAN,San Diego International,47,"$1,096,000 ",Update Miscellaneous Study,L,,,
2006,P,CA,SAN,San Diego International,45,"$12,749,346 ",Noise Mitigation Measures for Residences within 65 - 69 DNL,L,,,
2006,P,CA,SFO,San Francisco International,35,"$300,000 ",Conduct Noise Compatibility Plan Study,L,,,
2006,P,CA,SFO,San Francisco International,34,"$869,600 ",Install Noise Monitoring System,L,,,
2006,P,CA,SFO,San Francisco International,37,"$1,425,000 ","Rehabilitate Runway  - 10R/28L, Rehabilitate Runway Lighting - 01L/19R",L,,,
2006,P,CA,SFO,San Francisco International,36,"$22,180,046 ","Acquire Aircraft Rescue & Fire Fighting Vehicle, Conduct Miscellaneous Study, Improve Airport Drainage , Improve Runway Safety Area  - 01L/19R, Rehabilitate Apron",L,,,
2006,P,CO,DEN,Denver International,40,"$1,250,000 ",Conduct Miscellaneous Study,L,,,
2006,P,CO,DEN,Denver International,41,"$2,390,213 ","Improve Airport Drainage, Rehabilitate Runway - 16L/34R, Rehabilitate Taxiway",L,,,
2006,P,CO,DEN,Denver International,39,"$3,450,000 ",Construct Deicing Containment Facility,L,,,
2006,P,CO,DEN,Denver International,42,"$4,500,000 ",Rehabilitate Taxiway,L,,,
2006,P,DC,IAD,Washington Dulles International,35,"$36,913,573 ",Construct Runway  - Plan-1,L,,,
2006,P,FL,FLL,Fort Lauderdale/Hollywood International,52,"$1,050,000 ",Update Airport Master Plan Study,L,,,
2006,P,FL,FLL,Fort Lauderdale/Hollywood International,50,"$1,952,704 ",Conduct Environmental Study,L,,,
2006,P,FL,FLL,Fort Lauderdale/Hollywood International,51,"$6,297,917 ","Acquire Friction Measuring Equipment, Construct Taxiway , Improve Airport Drainage, Rehabilitate Apron , Rehabilitate Taxiway",L,,,
2006,P,FL,MIA,Miami International,52,"$7,550,000 ",Construct Runway  - Plan-1,L,,,
2006,P,FL,MIA,Miami International,53,"$8,720,307 ",Rehabilitate Apron,L,,,
2006,P,FL,MCO,Orlando International,93,"$2,000,000 ",Construct Taxiway,L,,,
2006,P,FL,MCO,Orlando International,94,"$4,466,203 ",Rehabilitate Terminal Building,L,,,
2006,P,FL,MCO,Orlando International,92,"$5,620,000 ",Construct Runway - 17L/35R,L,,,
2006,P,FL,TPA,Tampa International,46,"$3,127,614 ","Construct Taxiway , Rehabilitate Taxiway",L,,,
2006,P,FL,TPA,Tampa International,47,"$4,500,000 ","Construct Taxiway , Construct Taxiway",L,,,
2006,P,GA,ATL,Hartsfield - Jackson Atlanta International,75,"$3,934,750 ",Rehabilitate Runway - 08R/26L,L,,,
2006,P,GA,ATL,Hartsfield - Jackson Atlanta International,72,"$6,368,300 ",Construct Runway - Plan-1,L,,,
2006,P,GA,ATL,Hartsfield - Jackson Atlanta International,73,"$7,000,000 ",Construct Taxiway,L,,,
2006,P,GA,ATL,Hartsfield - Jackson Atlanta International,74,"$10,665,924 ","Construct Runway  - Plan-1, Improve Runway Safety Area  - 09L/27R, Improve Runway Safety Area  - 09R/27L, Improve Runway Safety Area - 08L/26R",L,,,
2006,P,GA,ATL,Hartsfield - Jackson Atlanta International,71,"$13,000,000 ",Extend Runway - 10/28,L,,,
2006,P,IL,MDW,Chicago Midway International,69,"$250,000 ",Noise Mitigation Measures for Public Buildings,L,,,
2006,P,IL,MDW,Chicago Midway International,68,"$6,134,296 ",Construct Terminal Building,L,,,
2006,P,IL,MDW,Chicago Midway International,67,"$12,000,000 ",Construct Apron,L,,,
2006,P,IL,MDW,Chicago Midway International,66,"$15,000,000 ","Improve Runway Safety Area - 04R/22L, Improve Runway Safety Area - 13C/31C",L,,,
2006,P,IL,ORD,Chicago O'Hare International,84,"$250,000 ",Noise Mitigation Measures for Public Buildings,L,,,
2006,P,IL,ORD,Chicago O'Hare International,81,"$1,900,000 ",Noise Mitigation Measures for Public Buildings,L,,,
2006,P,IL,ORD,Chicago O'Hare International,80,"$2,847,324 ",Rehabilitate Taxiway,L,,,
2006,P,IL,ORD,Chicago O'Hare International,83,"$4,500,000 ",Noise Mitigation Measures for Public Buildings,L,,,
2006,P,IL,ORD,Chicago O'Hare International,82,"$5,000,000 ",Noise Mitigation Measures for Public Buildings,L,,,
2006,P,IL,ORD,Chicago O'Hare International,85,"$5,963,551 ",Noise Mitigation Measures for Residences within 65 - 69 DNL,L,,,
2006,P,IL,ORD,Chicago O'Hare International,79,"$10,604,456 ","Improve Runway Safety Area - 04R/22L, Rehabilitate Runway - 04R/22L",L,,,
2006,P,IL,ORD,Chicago O'Hare International,87,"$29,300,000 ",Construct Runway  - 09L/27R,L,,,
2006,P,KY,CVG,Cincinnati/Northern Kentucky International,53,"$5,644,650 ",Noise Mitigation Measures for Public Buildings,L,,,
2006,P,KY,CVG,Cincinnati/Northern Kentucky International,54,"$6,000,000 ",Construct Runway,L,,,
2006,P,KY,CVG,Cincinnati/Northern Kentucky International,52,"$19,314,459 ",Construct Runway,L,,,
2006,P,MA,BOS,General Edward Lawrence Logan International,90,"$4,263,335 ",Conduct Noise Compatibility Plan Study,L,,,
2006,P,MA,BOS,General Edward Lawrence Logan International,89,"$13,610,000 ",Construct Runway - Plan-1,L,,,
2006,P,MD,BWI,Baltimore/Washington International Thurgood Marshal,77,"$14,012,849 ","Rehabilitate Apron , Rehabilitate Taxiway",L,,,
2006,P,MI,DTW,Detroit Metropolitan Wayne County,79,"$120,968 ",Noise Mitigation Measures for Residences within 65 - 69 DNL,L,,,
2006,P,MI,DTW,Detroit Metropolitan Wayne County,76,"$9,750,000 ",Noise Mitigation Measures for Residences within 65 - 69 DNL,L,,,
2006,P,MI,DTW,Detroit Metropolitan Wayne County,78,"$11,868,906 ","Rehabilitate Runway - 03R/21L, Rehabilitate Taxiway",L,,,
2006,P,MI,DTW,Detroit Metropolitan Wayne County,77,"$18,581,601 ","Construct Apron, Construct Runway - 04L/22R, Environmental Mitigation",L,,,
2006,P,MN,MSP,Minneapolis-St Paul International/Wold-Chamberlain/,86,"$956,057 ","Rehabilitate Apron , Rehabilitate Apron",L,,,
2006,P,MN,MSP,Minneapolis-St Paul International/Wold-Chamberlain/,84,"$3,627,395 ",Noise Mitigation Measures for Residences within 65 - 69 DNL,L,,,
2006,P,MN,MSP,Minneapolis-St Paul International/Wold-Chamberlain/,85,"$5,764,354 ","Extend Taxiway, Rehabilitate Taxiway",L,,,
2006,P,MN,MSP,Minneapolis-St Paul International/Wold-Chamberlain/,83,"$7,500,000 ",Construct Runway - Plan-1,L,,,
2006,P,MO,STL,Lambert-St Louis International,96,"$374,817 ",Conduct Airport Master Plan Study,M,,,
2006,P,MO,STL,Lambert-St Louis International,99,"$1,811,620 ",Acquire Land for Noise Compatibility within 70 - 74 DNL,M,,,
2006,P,MO,STL,Lambert-St Louis International,101,"$3,525,000 ",Improve Runway Safety Area - 12L/30R,M,,,
2006,P,MO,STL,Lambert-St Louis International,100,"$9,809,128 ",Rehabilitate Taxiway,M,,,
2006,P,MO,STL,Lambert-St Louis International,98,"$15,837,519 ",Construct Runway - Plan-1,M,,,
2006,P,NC,CLT,Charlotte/Douglas International,54,"$9,506,664 ","Construct Aircraft Rescue & Fire Fighting Building, Construct Runway  - 18L/36R",L,,,
2006,P,NJ,EWR,Newark Liberty International,109,"$1,770,300 ",Improve Access Road,L,,,
2006,P,NJ,EWR,Newark Liberty International,107,"$2,604,604 ",Noise Mitigation Measures for Public Buildings,L,,,
2006,P,NJ,EWR,Newark Liberty International,112,"$18,563,157 ",Improve Access Road,L,,,
2006,P,NV,LAS,McCarran International,61,"$1,077,286 ",Acquire Aircraft Rescue & Fire Fighting Vehicle,L,,,
2006,P,NV,LAS,McCarran International,60,"$10,743,257 ",Construct Apron,L,,,
2006,P,NY,JFK,John F Kennedy International,146,"$440,310 ",Noise Mitigation Measures for Public Buildings,L,,,
2006,P,NY,JFK,John F Kennedy International,136,"$472,608 ",Noise Mitigation Measures for Public Buildings,L,,,
2006,P,NY,JFK,John F Kennedy International,148,"$849,600 ",Improve Runway Safety Area - 13R/31L,L,,,
2006,P,NY,JFK,John F Kennedy International,145,"$985,570 ",Security Enhancements,L,,,
2006,P,NY,JFK,John F Kennedy International,144,"$1,660,735 ",Rehabilitate Runway Lighting  - 04R/22L,L,,,
2006,P,NY,JFK,John F Kennedy International,149,"$1,958,962 ",Noise Mitigation Measures for Public Buildings,L,,,
2006,P,NY,JFK,John F Kennedy International,147,"$4,365,000 ",Improve Access Road,L,,,
2006,P,NY,LGA,La Guardia,108,"$885,716 ",Noise Mitigation Measures for Public Buildings,L,,,
2006,P,NY,LGA,La Guardia,110,"$907,906 ",Noise Mitigation Measures for Public Buildings,L,,,
2006,P,NY,LGA,La Guardia,117,"$1,026,689 ",Rehabilitate Runway  - 13/31,L,,,
2006,P,NY,LGA,La Guardia,118,"$2,509,217 ",Improve Access Road,L,,,
2006,P,NY,LGA,La Guardia,119,"$3,700,000 ",Improve Access Road,L,,,
2006,P,NY,LGA,La Guardia,114,"$4,525,524 ",Noise Mitigation Measures for Public Buildings,L,,,
2006,P,NY,LGA,La Guardia,116,"$21,819,237 ",Noise Mitigation Measures for Public Buildings,L,,,
2006,P,OR,PDX,Portland International,53,"$992,915 ",Install Noise Monitoring System,M,,,
2006,P,OR,PDX,Portland International,54,"$3,510,502 ","Install Runway Lighting - 10L/28R, Rehabilitate Taxiway",M,,,
2006,P,OR,PDX,Portland International,55,"$4,995,000 ",Rehabilitate Taxiway,M,,,
2006,P,PA,PHL,Philadelphia International,79,"$4,000,000 ",Construct Runway  - Plan-1,L,,,
2006,P,PA,PHL,Philadelphia International,76,"$4,575,000 ",Improve Runway Safety Area  - 09R/27L,L,,,
2006,P,PA,PHL,Philadelphia International,77,"$5,024,478 ","Acquire Aircraft Rescue & Fire Fighting Vehicle, Rehabilitate Apron",L,,,
2006,P,PA,PHL,Philadelphia International,78,"$29,677,166 ",Extend Runway  - 17/35,L,,,
2006,P,TX,DFW,Dallas/Fort Worth International,78,"$5,692,000 ",Extend Runway  - 17C/35C,L,,,
2006,P,TX,DFW,Dallas/Fort Worth International,80,"$7,104,882 ","Improve Terminal Building , Rehabilitate Apron , Rehabilitate Runway - 18R/36L, Rehabilitate Runway Lighting  - 17",L,,,
2006,P,TX,DFW,Dallas/Fort Worth International,79,"$24,918,468 ",Construct Taxiway,L,,,
2006,P,TX,IAH,George Bush Intercontinental/Houston,60,"$25,113 ",VALE Vehicle,L,,,
2006,P,TX,IAH,George Bush Intercontinental/Houston,59,"$1,546,760 ",Acquire Aircraft Rescue & Fire Fighting Vehicle,L,,,
2006,P,TX,IAH,George Bush Intercontinental/Houston,58,"$8,700,000 ","Noise Mitigation Measures for Residences within 65 - 69 DNL, Noise Mitigation Measures for Residences within 70 - 74 DNL",L,,,
2006,P,TX,IAH,George Bush Intercontinental/Houston,57,"$17,250,000 ",Construct Runway - 08L/26R,L,,,
2006,P,UT,SLC,Salt Lake City International,83,"$787,097 ",Rehabilitate Taxiway,L,,,
2006,P,UT,SLC,Salt Lake City International,82,"$3,193,192 ",Rehabilitate Taxiway,L,,,
2006,P,WA,SEA,Seattle-Tacoma International,99,"$3,054,000 ",Noise Mitigation Measures for Public Buildings,L,,,
2006,P,WA,SEA,Seattle-Tacoma International,101,"$7,000,000 ",Install Runway Vertical/Visual Guidance System  - Plan-1,L,,,
2006,P,WA,SEA,Seattle-Tacoma International,100,"$8,927,085 ",Noise Mitigation Measures for Residences within 70 - 74 DNL,L,,,
2006,P,WA,SEA,Seattle-Tacoma International,98,"$10,800,000 ",Improve Runway Safety Area  - 16R/34L,L,,,
2006,P,WA,SEA,Seattle-Tacoma International,97,"$21,341,160 ",Construct Runway  - Plan-1,L,,,
2007,P,AZ,PHX,Phoenix Sky Harbor International,63,"$9,527,731 ",Rehabilitate Taxiway,L,,,
2007,P,CA,LAX,Los Angeles International,43,"$6,000,000 ",Noise Mitigation Measures for Residences within 70 - 74 DNL,L,,,
2007,P,CA,LAX,Los Angeles International,44,"$6,000,000 ",Noise Mitigation Measures for Residences within 70 - 74 DNL,L,,,
2007,P,CA,LAX,Los Angeles International,45,"$10,000,000 ",Noise Mitigation Measures for Residences within 65 - 69 DNL,L,,,
2007,P,CA,LAX,Los Angeles International,42,"$29,638,632 ",Construct Taxiway,L,,,
2007,P,CA,OAK,Metropolitan Oakland International,42,"$11,530,249 ","Rehabilitate Apron , Rehabilitate Runway - 09R/27L, Rehabilitate Taxiway",M,,,
2007,P,CA,SAN,San Diego International,48,"$10,000,000 ",Noise Mitigation Measures for Residences within 65 - 69 DNL,L,,,
2007,P,CA,SFO,San Francisco International,38,"$6,021,415 ","Improve Airport Drainage, Rehabilitate Apron , Rehabilitate Runway  - 10L/28R, Rehabilitate Runway Lighting , Rehabilitate Taxiway , Security Enhancements , Upd",L,,,
